true label_012,normal_Dr_value,scc_Dr_value,others_Dr_value
1,0.220540237,0.42188333,0.357576434
0,0.534246987,0.220674413,0.2450786
1,0.177283162,0.422076723,0.400640115
2,0.218323536,0.303911762,0.477764702
2,0.467606389,0.205853258,0.326540353
2,0.218092494,0.218092494,0.563815013
2,0.218092494,0.218092494,0.563815013
1,0.217247367,0.240652323,0.54210031
1,0.207032383,0.492269872,0.300697746
1,0.21547121,0.525017815,0.259510974
2,0.230468494,0.24769205,0.521839456
1,0.228346506,0.46345762,0.308195875
2,0.229960449,0.316627864,0.453411687
1,0.226281328,0.261030219,0.512688453
2,0.225611683,0.232389846,0.541998471
2,0.219121692,0.219121692,0.561756616
1,0.219522412,0.562783932,0.217693656
2,0.218092494,0.218092494,0.563815013
2,0.232761891,0.351602022,0.415636086
1,0.189950802,0.462239424,0.347809775
2,0.224076197,0.216423497,0.559500306
1,0.201545448,0.294239271,0.504215281
1,0.200447847,0.324163844,0.475388309
2,0.218092494,0.218092494,0.563815013
1,0.192643418,0.456879084,0.350477498
1,0.220469167,0.220469167,0.559061666
2,0.217076396,0.221735419,0.561188185
1,0.221711718,0.226470228,0.551818055
2,0.214696234,0.214696234,0.570607533
1,0.204943199,0.519691203,0.275365597
0,0.224076197,0.216423497,0.559500306
1,0.215328653,0.523321694,0.261349652
2,0.218092494,0.218092494,0.563815013
2,0.32074051,0.246360806,0.432898684
2,0.210195154,0.543398727,0.246406119
2,0.230877926,0.294456816,0.474665258
2,0.218092494,0.218092494,0.563815013
2,0.211895461,0.516637483,0.271467056
1,0.222038624,0.485894553,0.292066823
1,0.212395424,0.477525259,0.310079317
1,0.218092494,0.563815013,0.218092494
1,0.203896511,0.458417287,0.337686203
1,0.218092494,0.563815013,0.218092494
2,0.217076396,0.221735419,0.561188185
3,0.222559753,0.345623509,0.431816738
1,0.218064733,0.222888351,0.559046916
1,0.21144055,0.302978163,0.485581287
0,0.411228827,0.219443147,0.369328026
2,0.218092494,0.218092494,0.563815013
1,0.215094745,0.498122955,0.2867823
1,0.23701112,0.271304606,0.491684274
1,0.220367994,0.226550839,0.553081167
1,0.218374235,0.53004089,0.251584875
2,0.218092494,0.218092494,0.563815013
0,0.524910398,0.221899309,0.253190292
2,0.212649028,0.212649028,0.574701943
2,0.216575465,0.273738505,0.509686031
0,0.521160415,0.22810432,0.250735265
2,0.242330773,0.223601632,0.534067595
0,0.21471714,0.244995334,0.540287527
1,0.185194641,0.452700057,0.362105301
2,0.213383,0.225669881,0.560947119
2,0.216037426,0.216037426,0.567925148
1,0.212211335,0.214269625,0.57351904
2,0.212649028,0.212649028,0.574701943
2,0.212649028,0.212649028,0.574701943
1,0.226229436,0.240336193,0.53343437
2,0.217459685,0.217459685,0.565080631
1,0.213094441,0.552669351,0.234236209
1,0.215564733,0.528296483,0.256138784
1,0.218921002,0.534798391,0.246280606
2,0.254431122,0.211253424,0.534315454
1,0.235513891,0.497141226,0.267344883
1,0.217044767,0.395634076,0.387321157
1,0.214505018,0.553471123,0.23202386
1,0.217062204,0.542335808,0.240601989
2,0.218092494,0.218092494,0.563815013
2,0.212649028,0.212649028,0.574701943
2,0.212649028,0.212649028,0.574701943
0,0.521452159,0.231039622,0.247508219
2,0.212649028,0.212649028,0.574701943
2,0.212649028,0.212649028,0.574701943
1,0.224789015,0.51656885,0.258642135
2,0.221066794,0.481903638,0.297029568
0,0.507633024,0.214595515,0.27777146
2,0.218092494,0.218092494,0.563815013
2,0.218092494,0.218092494,0.563815013
2,0.223600403,0.230169978,0.546229619
1,0.2195734,0.557148609,0.223277991
2,0.227275837,0.225672744,0.547051419
2,0.237450933,0.260673482,0.501875586
1,0.216719813,0.559185792,0.224094395
2,0.227138057,0.53799479,0.234867153
1,0.218329905,0.56334019,0.218329905
1,0.217576159,0.234589815,0.547834026
1,0.221664617,0.518316653,0.26001873
0,0.522997318,0.22876105,0.248241631
1,0.221664617,0.518316653,0.26001873
2,0.22110388,0.22110388,0.55779224
1,0.217138321,0.561348276,0.221513403
2,0.211352791,0.284160446,0.504486763
0,0.242675882,0.220772363,0.536551756
2,0.218092494,0.218092494,0.563815013
1,0.233822634,0.403530228,0.362647139
0,0.374464167,0.246465173,0.379070661
1,0.219806829,0.541821717,0.238371455
2,0.218092494,0.218092494,0.563815013
2,0.258686781,0.233227503,0.508085716
